#Records Breached,#Total Records,% Record Breach,Show Data By Calc,City,Company,Date Made Public,Description of incident,Information Source,Location,Number of Records,Records Breached,Source URL,State,Total Records,Type of breach,Type of organization
818,,,Statewise Representation,New Braunfels,Hope Hospice,4/29/2013,"An employee used an unsecured email to send sensitive patient information.  Two separate administrative violations occurred on December 27, 2012 and on February 22, 2013. The issue was discovered on February 25.  The information was secured on February 28, 2013.  Patient names, referral sources, Hospice admission and discharge dates, the names of insurance providers, and chart numbers may have been exposed. ",PHIPrivacy.net,"New Braunfels, Texas",1,818 (No SSNs reported),,Texas,Unknown,DISC,MED
,,,Statewise Representation,Knoxville,"Lakeshore Mental Health Institute, Middle Tennessee Mental Health Institute",5/1/2013,"Patient records were found on the floor at an abandoned hospital building named Waterside.  The woman who discovered them was a former Lakeshore employee and she alerted a local news station.  Names, Social Security information, case numbers, dates of birth, and other patient information were exposed.UPDATE (06/27/2013): At least 20 boxes of patient records were found in an abandoned building at the Clover Bottom Campus of the Middle Tennessee Mental Health Institute.  The records dated back to the 1980's and had been reviewed to confirm which had sensitive information that needed to be destroyed.",PHIPrivacy.net,"Knoxville, Tennessee",1,Unknown,,Tennessee,Unknown,PHYS,MED
537,,,Statewise Representation,Rochester,University of Rochester Medical Center,5/3/2013,"The loss of an unencrypted flash drive exposed sensitive patient information.  The flash drive contained name, date of birth, weight, gender, telephone number, URMC internal medical record number, orthopaedic physician name, date of service, diagnosis, diagnostic study, procedure, and complications.  The flash drive is believed to have been destroyed after ending up in the medical center laundry. It was not found.",PHIPrivacy.net,"Rochester, New York",1,537 (No SSNs or financial information exposed),,New York,Unknown,PORT,MED
17300,,,Statewise Representation,Raleigh,Raleigh Orthopaedic Clinic,5/7/2013,Raleigh Orthopaedic Clinic contracted with a vendor in order to have information from X-ray films transferred into electronic format.  The X-ray film was actually sold by the unnamed vendor and melted harvest for silver by a recycling company in Ohio. Patient names and dates of birth were on the film.  The Clinic does not believe that personally identifiable information was on the film.,Media,"Raleigh, North Carolina",1,"17,300&nbsp;",,North Carolina,Unknown,PHYS,MED
7300,7300,100,Statewise Representation,York,Lutheran Social Services of South Central Pennsylvania,5/9/2013,"Lutheran Social Services became aware of a malware program that was on its software system.  Resident names, Social Security numbers, dates of birth, Medicare numbers, medical diagnosis codes, payer names, and health insurance numbers may have been exposed.  The breach was discovered in March and Lutheran Social Services had not involved investigators or police as of May 9.",Media,"York, Pennsylvania",1,"7,300",,Pennsylvania,"7,300",HACK,MED
6700,6700,100,Statewise Representation,Suwanee,PHH Corporation,5/10/2013,"A former employee was indicted on charges related to misuse of applicant and employee personal information.  Employee names, Social Security numbers, dates of birth, telephone numbers, email addresses, addresses, I-9 alien registration numbers, and other personal information may have been exposed.  The issue was discovered on April 3.  ",California Attorney General,"Suwanee, Georgia",1,"6,700&nbsp;",,Georgia,"6,700",INSD,MED
10300,,,Statewise Representation,Lafayette,Indiana University Health Arnett,5/10/2013,"The theft of an employee's unencrypted laptop resulted in the exposure of patient information.  The laptop was stolen from an employee's car on April 9 and contained email records.  Patient names, medical record numbers, dates of birth, physician names, diagnoses, and dates of service may have been exposed. ",Media,"Lafayette, Indiana",1,"10,300 (No SSNs reported)",,Indiana,Unknown,PORT,MED
1200,1200,100,Statewise Representation,Memphis,Regional Medical Center,5/11/2013,"Some patients who were treated at an outpatient facility between May 1 of 2012 and January 31 of 2013 had their information attached to emails that went out to an unspecified organization or organizations.  Three emails that were not secure were sent on October 29 and November 1 of 2012 and February 4, 2013.  Patient names, Social Security numbers, account numbers, dates of birth, home phone numbers, and reasons for outpatient physical therapy services may have been exposed.",PHIPrivacy.net,"Memphis, Tennessee",1,"1,200&nbsp;",,Tennessee,"1,200",DISC,MED
9988,9988,100,Statewise Representation,Charlotte,"Presbyterian Anesthesia Associates, E-dreamz, Pledmont Healthcare",5/14/2013,"A hacker took advantage of a security flaw in Presbyterian Anesthesia Associates' website and gained access to a database of patient information.  Names, credit card numbers, dates of birth, and contact information may have been exposed.UPDATE (05/15/2013): E-dreamz was the organization that hackers breached.  Patients from Pledmont Healthcare may have also been affected by E-dreamz's breach.  Names, addresses, phone numbers, email addresses, and credit card numbers may have been exposed.  Social Security numbers were not among the data that could have been exposed.",Media,"Charlotte, North Carolina",1,"9,988",,North Carolina,"9,988",HACK,MED
,,,Statewise Representation,Yardley,OptiNose US Inc.,5/15/2013,"An unencrypted laptop was stolen from an employee's car.  It may have contained names, Social Security numbers, and personal information related to people who worked at OptiNose.",Media,"Yardley, Pennsylvania",1,Unknown,,Pennsylvania,Unknown,PORT,MED
10200,,,Statewise Representation,Amherst,DENT Neurologic Institute of Amherst,5/16/2013,"An administrative error led to the personal information of 10,200 patients being emailed to 200 patients.  Names, addresses, date of last appointment, visit type, primary care physician, referring physician, email addresses, and whether or not the patient was actively receiving treatment were in an Excel attachment of an email that was sent to unspecified parties. The recipients were called and instructed to delete the email.",Media,"Amherst, New York",1,"10,200 (No SSNs or financial information exposed)",,New York,Unknown,DISC,MED
8330,,,Statewise Representation,Shreveport,"Louisiana State University (LSU) Health Shreveport, Siemens Healthcare",5/17/2013,"A computer data entry error resulted in a mailing error that exposed patient information.  The names and treatment information of certain patients were mistakenly mailed to other patients.  No Social Security numbers, dates of birth, or financial account numbers were exposed.",PHIPrivacy.net,"Shreveport, Louisiana",1,"8,330 (No SSNs or financial information reported)",,Louisiana,Unknown,DISC,MED
180,180,100,Statewise Representation,Speedway,"Community Health Network, Community Health Medcheck",5/17/2013,"A dishonest employee of Community Health Medcheck accessed the medical records of up to 180 people between mid-March and mid-April.  Social Security numbers, dates of birth, credit card numbers, and other information may have been exposed.",PHIPrivacy.net,"Speedway, Indiana",1,180,,Indiana,180,INSD,MED
2500,,,Statewise Representation,Bowling Green,Wood County Hospital,5/17/2013,"The March theft of radiology films resulted in the exposure of patient information.  The films were most likely stolen from the Hospital's storage room in order to be stripped of their silver.  The films contained patient names, medical record numbers, dates of exams, and in some cases, dates of birth.  The thieves posed as recycling subcontractors.  ",HHS via PHIPrivacy.net,"Bowling Green, Ohio",1,"2,500 (No SSNs or financial information reported)",,Ohio,Unknown,PHYS,MED
